,name,year,Length Of Movie (minute),idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
0,Adam at Six A.M.,1970,100.0,1970,1,Robert Scheerer,Stephen Karpf,Elinor Karpf,,Michael Douglas,Lee Purcell,Joe Don Baker,Drama,,,5.7
1,Adam's Woman,1970,116.0,1970,1,Philip Leacock,Richard Fielder,Lowell Barrington,,Beau Bridges,John Mills,Jane Merrow,Drama,,,6.3
2,The Adventurers,1970,171.0,1970,1,Lewis Gilbert,Michael Hastings,Lewis Gilbert,Harold Robbins,Charles Aznavour,Alan Badel,Candice Bergen,Action,Adventure,Drama,5.4
3,Airport,1970,137.0,1970,1,George Seaton,Arthur Hailey,George Seaton,,Burt Lancaster,Dean Martin,George Kennedy,Action,Drama,Thriller,6.6
4,Alex in Wonderland,1970,110.0,1970,1,Paul Mazursky,Paul Mazursky,Larry Tucker,,Donald Sutherland,Ellen Burstyn,Meg Mazursky,Comedy,Drama,,5.4
5,The Angel Levine,1970,104.0,1970,1,Ján Kadár,Bill Gunn,Ronald Ribman,Bernard Malamud,Zero Mostel,Harry Belafonte,Ida Kaminska,Drama,,,6.0
6,Angel Unchained,1970,86.0,1970,1,Lee Madden,Jeffrey Alan Fiskin,Lee Madden,,Don Stroud,Luke Askew,Larry Bishop,Action,Thriller,Drama,5.1
7,The Aristocats,1970,78.0,1970,1,Wolfgang Reitherman,Larry Clemmons,Vance Gerry,Ken Anderson,Phil Harris,Eva Gabor,Sterling Holloway,Animation,Adventure,Comedy,7.1
8,The Baby Maker,1970,109.0,1970,1,James Bridges,James Bridges,,,Barbara Hershey,Collin Wilcox Paxton,Sam Groom,Drama,,,6.0
9,The Ballad of Cable Hogue,1970,121.0,1970,1,Sam Peckinpah,John Crawford,Edmund Penney,Gordon T. Dawson,Jason Robards,Stella Stevens,David Warner,Comedy,Drama,Romance,7.3
10,Barquero,1970,115.0,1970,1,Gordon Douglas,George Schenck,William Marks,,Lee Van Cleef,Warren Oates,Forrest Tucker,Western,,,6.3
11,Beneath the Planet of the Apes,1970,95.0,1970,1,Ted Post,Paul Dehn,Mort Abrahams,Pierre Boulle,James Franciscus,Kim Hunter,Maurice Evans,Action,Adventure,Sci-Fi,6.1
12,Beyond the Valley of the Dolls,1970,109.0,1970,1,Russ Meyer,Roger Ebert,Russ Meyer,,Dolly Read,Cynthia Myers,Marcia McBroom,Comedy,Drama,Music,6.2
13,Bloody Mama,1970,90.0,1970,1,Roger Corman,Robert Thom,Don Peters,,Shelley Winters,Don Stroud,Pat Hingle,Crime,Drama,,5.7
14,The Boatniks,1970,99.0,1970,1,Norman Tokar,Arthur Julian,Martin Roth,,Robert Morse,Stefanie Powers,Phil Silvers,Comedy,Family,,5.5
15,The Boys in the Band,1970,121.0,2020,1,Joe Mantello,Mart Crowley,Ned Martel,,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,,,6.8
16,Brewster McCloud,1970,105.0,1970,1,Robert Altman,Doran William Cannon,,,Bud Cort,Shelley Duvall,Sally Kellerman,Comedy,Fantasy,,6.9
17,A Bullet for Pretty Boy,1970,89.0,1970,1,Larry Buchanan,Tony Huston,Larry Buchanan,Henry Rosenbaum,Fabian,Jocelyn Lane,Astrid Warner,Action,Biography,Crime,5.1
18,Cannon for Cordoba,1970,104.0,1970,1,Paul Wendkos,Stephen Kandel,,,George Peppard,Giovanna Ralli,Raf Vallone,Action,Romance,Western,5.7
19,C.C. and Company,1970,116.0,2002,1,Joel Schumacher,Gary M. Goodman,David Himmelstein,Jason Richman,Anthony Hopkins,Chris Rock,Peter Stormare,Action,Comedy,Thriller,5.6
20,"Cherry, Harry & Raquel!",1970,71.0,1969,1,Russ Meyer,Russ Meyer,Tom McGowan,,Linda Ashton,Charles Napier,Larissa Ely,Action,Comedy,,5.4
