,name,year,idbm_year,director,writers,star,rating,genre
0,Adam at Six A.M.,1970,1970,Robert Scheerer,"Stephen Karpf,Elinor Karpf","Michael Douglas,Lee Purcell,Joe Don Baker",5.7,Drama
1,Adam's Woman,1970,1970,Philip Leacock,"Richard Fielder,Lowell Barrington","Beau Bridges,John Mills,Jane Merrow",6.3,Drama
2,The Adventurers,1970,2017,Stephen Fung,"Chi Kwong Cheung,Stephen Fung,Zhichao Ha","Andy Lau,Shu Qi,Jingchu Zhang",5.6,"Action,Adventure,Crime"
3,Airport,1970,1970,"George Seaton,Henry Hathaway","Arthur Hailey,George Seaton","Burt Lancaster,Dean Martin,George Kennedy",6.6,"Action,Drama,Thriller"
4,Alex in Wonderland,1970,1970,Paul Mazursky,"Paul Mazursky,Larry Tucker","Donald Sutherland,Ellen Burstyn,Meg Mazursky",5.4,"Comedy,Drama"
5,The Angel Levine,1970,1970,Ján Kadár,"Bill Gunn,Ronald Ribman,Bernard Malamud","Zero Mostel,Harry Belafonte,Ida Kaminska",6.0,Drama
6,Angel Unchained,1970,1970,Lee Madden,"Jeffrey Alan Fiskin,Lee Madden","Don Stroud,Luke Askew,Larry Bishop",5.1,"Action,Thriller,Drama"
7,The Aristocats,1970,1970,Wolfgang Reitherman,"Larry Clemmons,Vance Gerry,Ken Anderson","Phil Harris,Eva Gabor,Sterling Holloway",7.1,"Animation,Adventure,Comedy"
8,The Baby Maker,1970,1970,James Bridges,James Bridges,"Barbara Hershey,Collin Wilcox Paxton,Sam Groom",6.0,Drama
9,The Ballad of Cable Hogue,1970,1970,Sam Peckinpah,"John Crawford,Edmund Penney,Gordon T. Dawson","Jason Robards,Stella Stevens,David Warner",7.3,"Comedy,Drama,Romance"
10,Barquero,1970,1970,Gordon Douglas,"George Schenck,William Marks","Lee Van Cleef,Warren Oates,Forrest Tucker",6.3,Western
11,Beneath the Planet of the Apes,1970,1970,Ted Post,"Paul Dehn,Mort Abrahams,Pierre Boulle","James Franciscus,Kim Hunter,Maurice Evans",6.1,"Action,Adventure,Sci-Fi"
12,Beyond the Valley of the Dolls,1970,1970,Russ Meyer,"Roger Ebert,Russ Meyer","Dolly Read,Cynthia Myers,Marcia McBroom",6.2,"Comedy,Drama,Music"
13,Bigfoot,1970,1987,William Dear,"William Dear,Bill Martin,Ezra D. Rappaport","John Lithgow,Melinda Dillon,Margaret Langrick",6.0,"Comedy,Family,Fantasy"
14,Bloody Mama,1970,1970,Roger Corman,"Robert Thom,Don Peters","Shelley Winters,Don Stroud,Pat Hingle",5.7,"Crime,Drama"
15,The Boatniks,1970,1970,Norman Tokar,"Arthur Julian,Martin Roth","Robert Morse,Stefanie Powers,Phil Silvers",5.5,"Comedy,Family"
16,The Boys in the Band,1970,2020,Joe Mantello,"Mart Crowley,Ned Martel","Jim Parsons,Zachary Quinto,Matt Bomer",6.8,Drama
17,Brewster McCloud,1970,1970,Robert Altman,Doran William Cannon,"Bud Cort,Shelley Duvall,Sally Kellerman",6.9,"Comedy,Fantasy"
18,A Bullet for Pretty Boy,1970,1970,"Larry Buchanan,Maury Dexter","Tony Huston,Larry Buchanan,Henry Rosenbaum","Fabian,Jocelyn Lane,Astrid Warner",5.1,"Action,Biography,Crime"
19,Cannon for Cordoba,1970,1970,Paul Wendkos,Stephen Kandel,"George Peppard,Giovanna Ralli,Raf Vallone",5.7,"Action,Romance,Western"
20,Catch-22,1970,,,,,7.8,"Action,Adventure,Comedy"
21,C.C. and Company,1970,1970,Seymour Robbie,Roger Smith,"Joe Namath,Ann-Margret,William Smith",4.8,"Action,Comedy,Drama"
22,"Cherry, Harry & Raquel!",1970,1969,Russ Meyer,"Russ Meyer,Tom McGowan","Linda Ashton,Charles Napier,Larissa Ely",5.4,"Action,Comedy"
23,The Cheyenne Social Club,1970,1970,Gene Kelly,James Lee Barrett,"James Stewart,Henry Fonda,Shirley Jones",6.9,"Comedy,Romance,Western"
24,Chisum,1970,1970,Andrew V. McLaglen,Andrew J. Fenady,"John Wayne,Forrest Tucker,Christopher George",6.9,"Biography,Western"
