,name,direcor,cast,genre
0,After Dark in Central Park,,,
1,Boarding School Girls' Pajama Parade,,,
2,Buffalo Bill's Wild West Parad,,,
3,Caught,,,
4,Clowns Spinning Hats,,,
5,Capture of Boer Battery by British,James H. White,,Short documentary
6,The Enchanted Drawing,J. Stuart Blackton,,
7,Feeding Sea Lions,,Paul Boyton,
8,How to Make a Fat Wife Out of Two Lean Ones,,,Comedy
9,New Life Rescue,,,
10,New Morning Bath,,,
11,"Searching Ruins on Broadway, Galveston, for Dead Bodies",,,
12,Sherlock Holmes Baffled,,,
13,The Tribulations of an Amateur Photographer,,,
14,Trouble in Hogan's Alley,,,Comedy
15,Two Old Sparks,,,Short
16,"The Wonder, Ching Ling Foo",,Ching Ling Foo,Short
17,Watermelon Contest,James H. White,,Short
18,Acrobats in Cairo,,,
19,An Affair of Honor,,,
20,Another Job for the Undertaker,Edwin Stanton Porter,,
21,Arrival of Tongkin Train,,,
22,The Artist's Dilemma,Edwin Stanton Porter,,
23,Band and Battalion of the U.S. Indian School,,,
24,Barnum and Bailey's Circus,,,
25,Beef Extract Room,,,
26,Boxing in Barrels,,,
27,Branding Hams,,,
28,Buffalo Street Parade,,,
29,A Busy Corner at Armour's,,,
30,"The Bund, Shanghai",,,
31,"Circular Panorama of the Base of the Electric Tower, Ending Looking Down the Mall",,,
32,Circular Panorama of the Electric Tower and Pond,,,
33,Circular Panorama of the Esplanade with the Electric Tower in the Background,,,
34,"Coaling a Steamer, Nagasaki Bay, Japan",,,
35,Convention of Railroad Passengers,,,
36,"Cornell-Columbia-University of Pennsylvania Boat Race at Ithaca, N.Y., Showing Lehigh Valley Observation Train",,,
37,Couchee Dance on the Midway,,,
38,The Donkey Party,,,
39,The Finish of Bridget McKeen,,,
40,Follow the Leader,,,
41,The Fraudulent Beggar,,,
42,Fun at a Children's Party,,,
43,A Good Joke,,,
44,The Gordon Sisters Boxing,,,
45,"Grand Entry, Indian Congress",,,
46,Happy Hooligan April-Fooled,,,
47,Happy Hooligan Surprised,,,
48,Harbor of Shanghai,,,
49,A Hold-Up,,,
50,"Ice-Boat Racing at Redbank, N.J.",,,
51,Indians No. 1,,,
52,"Jeffries and Ruhlin Sparring Contest at San Francisco, Cal., November 15, 1901",,,
53,A Joke on Grandma,,,
54,Kansas Saloon Smashers,,,
55,"Launching of the New Battleship 'Ohio' at San Francisco, Cal. When President McKinley Was There",,,
56,Laura Comstock's Bag-Punching Dog,,,
57,The Life of a Fireman,,,
58,Love by the Light of the Moon,,,
59,The Martyred Presidents,,,
60,Midway Dance,,,
61,Miles Canyon Tramway,,,
62,Montreal Fire Department on Runners,,,
63,Mounted Police Charge,,,
64,The Old Maid Having Her Picture Taken,,,
65,Opening of the Pan-American Exposition Showing Vice President Roosevelt Leading the Procession,,,
66,Pan-American Exposition by Night,,,
67,"Panorama of the Exposition, No. 1",,,
68,"Panorama of the Exposition, No. 2",,,
69,Panoramic View of the Fleet After Yacht Race,,,
70,Panoramic View of the Temple of Music and Esplanade,,,
71,"Panoramic View, Asheville, N.C.",,,
72,Le Petit chaperon rouge,,,
73,Photographing the Audience,,,
74,"Pie, Tramp and the Bulldog",,,
75,President McKinley and Escort Going to the Capitol,Thomas Edison,,
76,President McKinley Taking the Oath,Thomas Edison,,
77,President McKinley's Speech at the Pan-American Exposition,,,
78,The Queen's Funeral,,,
79,Le Rêve de Noël,,,
80,Rocking Gold in the Klondike,,,
81,Ruhlin in His Training Quarters,,,
82,"Shad Fishing at Gloucester, N.J.",,,
83,"Terrible Teddy, the Grizzly King",,,
84,The Tramp's Dream,,,
85,Tramp's Nap Interrupted,,,
86,Trapeze Disrobing Act,,,
87,A Trip Around the Pan-American Exposition,,,
88,Turkish Dance,,,
89,Twelve in a Barrel,,,
90,Two Rubes at the Theatre,,,
91,Upper Falls of the Yellowstone,,,
92,"Washing Gold on 20 Above Hunker, Klondike",,,
93,Wedding Procession in Cairo,,,
