,name,year,idbm_year,length,director,writers,star,rating,genre
0,Adam at Six A.M.,1970,1970,1h 40m,Robert Scheerer,"Stephen Karpf,Elinor Karpf","Michael Douglas,Lee Purcell,Joe Don Baker",5.7,Drama
1,Adam's Woman,1970,1970,1h 56m,Philip Leacock,"Richard Fielder,Lowell Barrington","Beau Bridges,John Mills,Jane Merrow",6.3,Drama
2,The Adventurers,1970,1970,2h 51m,Lewis Gilbert,"Michael Hastings,Lewis Gilbert,Harold Robbins","Charles Aznavour,Alan Badel,Candice Bergen",5.4,"Action,Adventure,Drama"
3,Airport,1970,1970,2h 17m,"George Seaton,Henry Hathaway","Arthur Hailey,George Seaton","Burt Lancaster,Dean Martin,George Kennedy",6.6,"Action,Drama,Thriller"
4,Alex in Wonderland,1970,1970,1h 50m,Paul Mazursky,"Paul Mazursky,Larry Tucker","Donald Sutherland,Ellen Burstyn,Meg Mazursky",5.4,"Comedy,Drama"
5,The Angel Levine,1970,1970,1h 44m,Ján Kadár,"Bill Gunn,Ronald Ribman,Bernard Malamud","Zero Mostel,Harry Belafonte,Ida Kaminska",6.0,Drama
6,Angel Unchained,1970,1970,1h 26m,Lee Madden,"Jeffrey Alan Fiskin,Lee Madden","Don Stroud,Luke Askew,Larry Bishop",5.1,"Action,Thriller,Drama"
7,The Aristocats,1970,1970,1h 18m,Wolfgang Reitherman,"Larry Clemmons,Vance Gerry,Ken Anderson","Phil Harris,Eva Gabor,Sterling Holloway",7.1,"Animation,Adventure,Comedy"
8,The Baby Maker,1970,1970,1h 49m,James Bridges,James Bridges,"Barbara Hershey,Collin Wilcox Paxton,Sam Groom",6.0,Drama
9,The Ballad of Cable Hogue,1970,1970,2h 1m,Sam Peckinpah,"John Crawford,Edmund Penney,Gordon T. Dawson","Jason Robards,Stella Stevens,David Warner",7.3,"Comedy,Drama,Romance"
10,Barquero,1970,1970,1h 55m,Gordon Douglas,"George Schenck,William Marks","Lee Van Cleef,Warren Oates,Forrest Tucker",6.3,Western
11,Beneath the Planet of the Apes,1970,1970,1h 35m,Ted Post,"Paul Dehn,Mort Abrahams,Pierre Boulle","James Franciscus,Kim Hunter,Maurice Evans",6.1,"Action,Adventure,Sci-Fi"
12,Beyond the Valley of the Dolls,1970,1970,1h 49m,Russ Meyer,"Roger Ebert,Russ Meyer","Dolly Read,Cynthia Myers,Marcia McBroom",6.2,"Comedy,Drama,Music"
13,Bigfoot,1970,,,,,,,
14,Bloody Mama,1970,1970,1h 30m,Roger Corman,"Robert Thom,Don Peters","Shelley Winters,Don Stroud,Pat Hingle",5.7,"Crime,Drama"
15,The Boatniks,1970,1970,1h 39m,Norman Tokar,"Arthur Julian,Martin Roth","Robert Morse,Stefanie Powers,Phil Silvers",5.5,"Comedy,Family"
16,The Boys in the Band,1970,2020,2h 1m,Joe Mantello,"Mart Crowley,Ned Martel","Jim Parsons,Zachary Quinto,Matt Bomer",6.8,Drama
17,Brewster McCloud,1970,1970,1h 45m,Robert Altman,Doran William Cannon,"Bud Cort,Shelley Duvall,Sally Kellerman",6.9,"Comedy,Fantasy"
18,A Bullet for Pretty Boy,1970,1970,1h 29m,"Larry Buchanan,Maury Dexter","Tony Huston,Larry Buchanan,Henry Rosenbaum","Fabian,Jocelyn Lane,Astrid Warner",5.1,"Action,Biography,Crime"
19,Cannon for Cordoba,1970,1970,1h 44m,Paul Wendkos,Stephen Kandel,"George Peppard,Giovanna Ralli,Raf Vallone",5.7,"Action,Romance,Western"
20,Catch-22,1970,,TV-MATV-MA,,,,7.8,"Action,Adventure,Comedy"
21,C.C. and Company,1970,2002,1h 56m,Joel Schumacher,"Gary M. Goodman,David Himmelstein,Jason Richman","Anthony Hopkins,Chris Rock,Peter Stormare",5.6,"Action,Comedy,Thriller"
22,"Cherry, Harry & Raquel!",1970,1969,1h 11m,Russ Meyer,"Russ Meyer,Tom McGowan","Linda Ashton,Charles Napier,Larissa Ely",5.4,"Action,Comedy"
23,The Cheyenne Social Club,1970,1970,1h 43m,Gene Kelly,James Lee Barrett,"James Stewart,Henry Fonda,Shirley Jones",6.9,"Comedy,Romance,Western"
24,Chisum,1970,1970,1h 51m,Andrew V. McLaglen,Andrew J. Fenady,"John Wayne,Forrest Tucker,Christopher George",6.9,"Biography,Western"
25,The Christine Jorgensen Story,1970,1970,1h 38m,Irving Rapper,"Christine Jorgensen,Robert E. Kent,Ellis St. Joseph","John Hansen,Joan Tompkins,Quinn K. Redeker",5.5,"Biography,Drama,Romance"
26,Cockeyed Cowboys of Calico County,1970,1970,1h 39m,"Anton Leader,Ranald MacDougall",Ranald MacDougall,"Dan Blocker,Nanette Fabray,Jim Backus",6.2,"Comedy,Western"
27,Colossus: The Forbin Project,1970,1970,1h 40m,Joseph Sargent,"James Bridges,D.F. Jones","Eric Braeden,Susan Clark,Gordon Pinsent",7.1,"Sci-Fi,Thriller"
28,Cotton Comes to Harlem,1970,1970,1h 37m,Ossie Davis,"Chester Himes,Arnold Perl,Ossie Davis","Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart",6.5,"Action,Comedy,Crime"
29,"Count Yorga, Vampire",1970,1970,1h 33m,Bob Kelljan,Bob Kelljan,"Robert Quarry,Roger Perry,Michael Murphy",5.8,"Drama,Fantasy,Horror"
30,Darker than Amber,1970,1970,1h 36m,Robert Clouse,"John D. MacDonald,Ed Waters","Rod Taylor,Theodore Bikel,Suzy Kendall",6.2,"Action,Drama,Mystery"
31,Darling Lili,1970,1970,2h 16m,Blake Edwards,"Blake Edwards,William Peter Blatty","Julie Andrews,Rock Hudson,Jeremy Kemp",6.1,"Comedy,Drama,Musical"
32,The Delta Factor,1970,1970,1h 31m,Tay Garnett,"Tay Garnett,Mickey Spillane,Raoul Walsh","Yvette Mimieux,Christopher George,Diane McBain",4.0,"Adventure,Crime,Drama"
33,Diary of a Mad Housewife,1970,1970,1h 35m,Frank Perry,"Eleanor Perry,Sue Kaufman","Richard Benjamin,Frank Langella,Carrie Snodgress",7.0,"Comedy,Drama"
34,Dirty Dingus Magee,1970,1970,1h 31m,Burt Kennedy,"David Markson,Tom Waldman,Frank Waldman","Frank Sinatra,George Kennedy,Anne Jackson",5.2,"Comedy,Romance,Western"
35,The Dunwich Horror,1970,1970,1h 30m,Daniel Haller,"Curtis Hanson,Henry Rosenbaum,Ronald Silkosky","Sandra Dee,Dean Stockwell,Ed Begley",5.4,Horror
36,El Condor,1970,,TV-PGTV-PG,,,,6.8,"Action,Crime,Mystery"
37,Elvis: That's the Way It Is,1970,1970,1h 37m,,,,8.0,"Documentary,Music"
38,End of the Road,1970,2022,,Millicent Shelton,"David Loughery,Christopher J. Moore","Queen Latifah,Beau Bridges,Ludacris",,"Drama,Mystery,Thriller"
39,Equinox,1970,,TV-MATV-MA,,,,6.1,"Drama,Fantasy,Mystery"
