,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
0,Adam at Six A.M.,1970,1970,1h 40m,Robert Scheerer,1,Stephen Karpf,Elinor Karpf,,Michael Douglas,Lee Purcell,Joe Don Baker,Drama,,,5.7
1,Adam's Woman,1970,1970,1h 56m,Philip Leacock,1,Richard Fielder,Lowell Barrington,,Beau Bridges,John Mills,Jane Merrow,Drama,,,6.3
2,The Adventurers,1970,1970,2h 51m,Lewis Gilbert,1,Michael Hastings,Lewis Gilbert,Harold Robbins,Charles Aznavour,Alan Badel,Candice Bergen,Action,Adventure,Drama,5.4
3,Airport,1970,1970,2h 17m,George Seaton,1,Arthur Hailey,George Seaton,,Burt Lancaster,Dean Martin,George Kennedy,Action,Drama,Thriller,6.6
4,Alex in Wonderland,1970,1970,1h 50m,Paul Mazursky,1,Paul Mazursky,Larry Tucker,,Donald Sutherland,Ellen Burstyn,Meg Mazursky,Comedy,Drama,,5.4
5,The Angel Levine,1970,1970,1h 44m,Ján Kadár,1,Bill Gunn,Ronald Ribman,Bernard Malamud,Zero Mostel,Harry Belafonte,Ida Kaminska,Drama,,,6.0
6,Angel Unchained,1970,1970,1h 26m,Lee Madden,1,Jeffrey Alan Fiskin,Lee Madden,,Don Stroud,Luke Askew,Larry Bishop,Action,Thriller,Drama,5.1
7,The Aristocats,1970,1970,1h 18m,Wolfgang Reitherman,1,Larry Clemmons,Vance Gerry,Ken Anderson,Phil Harris,Eva Gabor,Sterling Holloway,Animation,Adventure,Comedy,7.1
8,The Baby Maker,1970,1970,1h 49m,James Bridges,1,James Bridges,,,Barbara Hershey,Collin Wilcox Paxton,Sam Groom,Drama,,,6.0
9,The Ballad of Cable Hogue,1970,1970,2h 1m,Sam Peckinpah,1,John Crawford,Edmund Penney,Gordon T. Dawson,Jason Robards,Stella Stevens,David Warner,Comedy,Drama,Romance,7.3
10,Barquero,1970,1970,1h 55m,Gordon Douglas,1,George Schenck,William Marks,,Lee Van Cleef,Warren Oates,Forrest Tucker,Western,,,6.3
11,Beneath the Planet of the Apes,1970,1970,1h 35m,Ted Post,1,Paul Dehn,Mort Abrahams,Pierre Boulle,James Franciscus,Kim Hunter,Maurice Evans,Action,Adventure,Sci-Fi,6.1
12,Beyond the Valley of the Dolls,1970,1970,1h 49m,Russ Meyer,1,Roger Ebert,Russ Meyer,,Dolly Read,Cynthia Myers,Marcia McBroom,Comedy,Drama,Music,6.2
13,Bigfoot,1970,,,,1,,,,,,,,,,
14,Bloody Mama,1970,1970,1h 30m,Roger Corman,1,Robert Thom,Don Peters,,Shelley Winters,Don Stroud,Pat Hingle,Crime,Drama,,5.7
15,The Boatniks,1970,1970,1h 39m,Norman Tokar,1,Arthur Julian,Martin Roth,,Robert Morse,Stefanie Powers,Phil Silvers,Comedy,Family,,5.5
16,The Boys in the Band,1970,2020,2h 1m,Joe Mantello,1,Mart Crowley,Ned Martel,,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,,,6.8
17,Brewster McCloud,1970,1970,1h 45m,Robert Altman,1,Doran William Cannon,,,Bud Cort,Shelley Duvall,Sally Kellerman,Comedy,Fantasy,,6.9
18,A Bullet for Pretty Boy,1970,1970,1h 29m,Larry Buchanan,1,Tony Huston,Larry Buchanan,Henry Rosenbaum,Fabian,Jocelyn Lane,Astrid Warner,Action,Biography,Crime,5.1
19,Cannon for Cordoba,1970,1970,1h 44m,Paul Wendkos,1,Stephen Kandel,,,George Peppard,Giovanna Ralli,Raf Vallone,Action,Romance,Western,5.7
20,Catch-22,1970,,TV-MATV-MA,,1,,,,,,,Action,Adventure,Comedy,7.8
21,C.C. and Company,1970,2002,1h 56m,Joel Schumacher,1,Gary M. Goodman,David Himmelstein,Jason Richman,Anthony Hopkins,Chris Rock,Peter Stormare,Action,Comedy,Thriller,5.6
22,"Cherry, Harry & Raquel!",1970,1969,1h 11m,Russ Meyer,1,Russ Meyer,Tom McGowan,,Linda Ashton,Charles Napier,Larissa Ely,Action,Comedy,,5.4
23,The Cheyenne Social Club,1970,1970,1h 43m,Gene Kelly,1,James Lee Barrett,,,James Stewart,Henry Fonda,Shirley Jones,Comedy,Romance,Western,6.9
24,Chisum,1970,1970,1h 51m,Andrew V. McLaglen,1,Andrew J. Fenady,,,John Wayne,Forrest Tucker,Christopher George,Biography,Western,,6.9
25,The Christine Jorgensen Story,1970,1970,1h 38m,Irving Rapper,1,Christine Jorgensen,Robert E. Kent,Ellis St. Joseph,John Hansen,Joan Tompkins,Quinn K. Redeker,Biography,Drama,Romance,5.5
26,Cockeyed Cowboys of Calico County,1970,1970,1h 39m,Anton Leader,1,Ranald MacDougall,,,Dan Blocker,Nanette Fabray,Jim Backus,Comedy,Western,,6.2
27,Colossus: The Forbin Project,1970,1970,1h 40m,Joseph Sargent,1,James Bridges,D.F. Jones,,Eric Braeden,Susan Clark,Gordon Pinsent,Sci-Fi,Thriller,,7.1
28,Cotton Comes to Harlem,1970,1970,1h 37m,Ossie Davis,1,Chester Himes,Arnold Perl,Ossie Davis,Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart,Action,Comedy,Crime,6.5
