,rating actual,rating predicted
562,5.2,5.1566994325260875
1528,6.8,7.099727851603451
4678,6.7,6.408931984721115
3726,6.0,6.033520353058142
5549,7.3,7.144304918471204
303,6.8,6.634341460130455
7451,5.3,5.865767704469809
5205,6.2,6.4239641986815235
7870,6.6,6.7906749389676415
445,6.3,6.738828462718671
4415,6.9,6.992326667538719
2333,5.4,5.2326625071044806
1533,6.8,6.379259550327315
4788,6.6,6.595073887300109
4688,8.1,7.207732253762585
5393,5.6,5.482712489093157
6262,5.1,5.636458526646493
2267,4.7,4.333379101168061
2806,5.6,5.7792137558222185
5408,6.7,6.80174356431917
6865,6.4,6.617906859809657
5995,6.2,6.076224733139689
220,6.7,6.795837134541137
5905,5.1,5.428287626413299
7864,5.7,5.595699294367217
2110,5.9,6.246325754530295
1518,5.8,6.135280982661053
1401,6.0,5.963578933450315
4599,7.6,7.281083494227768
1799,4.4,4.359373346201562
5363,6.9,6.637396739499237
5322,6.2,7.031767512403255
2144,6.7,6.597345067784892
3839,6.9,6.960442349596696
6296,7.6,6.999537095246395
5145,6.9,6.941306147582693
4260,6.1,6.462384471817264
1684,5.3,4.93880763068351
1629,5.8,6.054827654072732
7801,4.7,4.772121130499137
2594,6.4,6.494164502160358
5934,6.6,6.434401523603795
6439,7.0,6.759458015277306
3322,4.0,3.5475514562356345
2465,6.4,6.121245525533166
7308,6.4,6.405776400385306
7045,5.9,5.765849397490817
2581,6.4,6.103247187753072
7961,6.3,6.334172273401474
1698,6.6,6.525304860461451
854,7.8,7.456551668526823
7206,6.9,7.031241752316029
3995,5.8,5.468272295556361
2458,7.3,7.480404257225181
4457,6.8,6.521587588552834
2331,5.4,5.231947904580524
1778,6.7,6.7473219475136
7120,6.2,6.25822084115703
1817,7.7,7.606603248716946
3672,6.7,6.734385042129111
6276,7.0,7.135817318104437
141,6.1,6.146001319248002
4674,6.2,6.18383272352646
2457,7.0,6.647153276887772
1731,6.0,6.419088396162183
6743,6.2,6.286213087790896
2738,7.4,7.386068312041949
6990,5.4,5.67680726395261
3266,6.4,6.769956126500589
3604,5.8,5.9077301083922436
4341,6.1,6.126450381528379
1877,5.4,5.445943890608576
7912,6.5,6.6178862247776395
6317,6.2,6.06932438119439
6578,5.3,5.283676058301234
7307,5.2,5.739430449026827
133,7.0,6.951348307706643
5875,4.6,4.773955591561423
1,6.3,6.307829896987605
3780,6.5,6.501131106390898
2044,7.6,6.6894643142939705
4883,6.1,6.193195547494039
2227,4.3,3.8723705380735867
4653,6.4,6.4706813625078565
4683,6.6,6.127161967025297
6218,7.5,7.822889893841663
1090,5.3,5.208811025632931
4311,5.7,5.922392244280182
168,6.2,6.255257269863739
6783,7.0,6.817335563873033
4825,5.3,5.1246275080212
1372,5.7,5.5206701978670765
1085,5.2,5.205054585976729
2352,5.1,5.124142899390749
1945,5.4,5.1573280576073035
964,7.2,7.120023226743757
4819,5.2,5.302456038896078
7162,7.9,7.2137551574583645
5366,6.5,6.5422520943779
6912,4.1,4.183789995057585
653,4.4,3.9985637269295164
369,6.5,6.618066854850858
3297,5.9,5.8345354014563595
7191,4.2,3.7587570923058475
5507,6.8,6.803009910737994
6109,6.8,7.004544077402671
5349,7.5,6.987763793356112
7276,3.8,4.197600461663433
3268,5.8,5.759121644297123
0,5.7,5.427319781996387
4308,6.6,6.806734580297737
5163,4.3,4.34474941925923
7827,6.9,7.1498769907880915
3342,5.9,6.536690521641028
7747,7.3,7.2281773801307745
858,5.8,6.078132426147498
1908,6.5,6.6087461311215625
774,5.3,5.460832905839659
4437,7.3,6.811813964992493
6488,7.3,6.946275384054451
3805,6.0,6.384331649106774
6095,7.1,6.933714716241416
5307,6.4,6.317349509211079
4239,6.1,5.715207787086062
3506,6.5,6.451710501122041
6453,7.1,6.792005996860671
4409,5.4,5.711092593742067
1854,4.8,4.346385381199022
1587,5.5,6.109431398841838
6306,6.1,6.474090525773806
1863,4.7,4.805818336203432
7565,6.5,7.038587007353015
4175,6.6,6.4616407172589705
1244,5.2,5.264551196568921
7373,7.9,8.196308970956398
6500,4.8,5.519522264513603
2411,6.1,6.268303838169577
6817,8.0,7.613206560448007
7219,6.3,6.3316186800582415
342,6.1,5.776794893004309
2286,5.9,5.898991705074613
5593,6.4,6.603797890764652
7396,6.3,6.467930060426101
6867,4.5,4.397140109128358
3360,7.5,7.4521935025411254
7892,6.3,6.5570832794513985
4354,5.2,5.738656395491442
3761,6.7,6.838657734722113
3974,6.1,6.480596046912312
5713,6.6,6.745261382374035
4465,7.5,7.241805700027293
1844,7.2,6.651206507035005
1893,6.9,6.493942872954581
2187,5.3,4.96059908643545
5036,6.2,5.847066306792636
5305,6.5,6.3618207856352695
1309,6.9,6.25758989375992
4349,6.7,6.698048801839653
6658,8.1,7.831512130299994
7490,6.6,6.449385100693466
734,6.1,6.27070251114098
5093,4.7,5.21577470143963
3195,5.3,5.936064027800506
1924,7.5,7.364146650738939
555,7.4,7.033805045593783
3684,7.0,6.8527726905394735
5448,5.3,5.111394879698618
5438,6.8,6.758342934815135
5466,4.8,5.456295039458184
7554,6.9,6.76865230909137
5981,6.4,6.231841613945306
4141,5.0,4.747082515955243
6452,7.9,7.794200842997371
596,5.7,6.049136545655239
7736,6.7,6.719696833488647
1592,5.7,5.603576435201019
6897,6.4,6.394005691347467
7639,6.9,7.122634343998885
2093,6.3,6.1983667301402585
6687,6.2,6.498312532077786
2140,5.2,5.005281717788965
5775,3.2,3.1195051375452723
916,6.0,5.944974251039949
78,5.0,5.003921316495705
1998,5.5,5.419686459026961
7463,6.9,7.208552993410128
3743,7.0,7.443516182427328
6667,5.5,5.554221753357393
3948,8.1,7.39049770929777
383,6.5,6.114612995878747
2359,6.2,6.28116481958471
3053,5.5,5.961739107314118
7173,8.0,7.140448267238228
3216,6.4,6.456638968146133
7167,7.3,7.104314860266798
566,6.5,6.582008028666675
3482,5.0,5.405984984130784
5841,6.6,6.473487883204119
1257,6.3,6.084484381959529
7345,7.3,6.5493248252923975
3915,4.9,5.4483843666384235
136,5.4,6.0286183924345895
6765,4.4,4.074263822560648
2123,7.3,6.680258716897826
5067,5.4,6.2353282199683955
397,5.9,5.855673737154502
1516,7.3,6.9966994800442075
6735,3.2,3.057100129084972
2323,6.3,6.449562742504146
7012,6.3,6.2525854104193055
2164,4.8,4.735232624206108
4181,6.8,6.841518249196732
7707,4.9,5.85456244651454
65,5.1,5.269811902552419
2183,6.2,5.917622319587774
1275,6.8,6.60027078073549
2372,6.5,6.583960037117758
3633,6.8,6.656751714829073
6466,6.8,6.815431812129739
4199,5.2,5.349310685165746
7218,5.8,6.105043498730736
747,6.2,6.204141531292477
5130,5.6,5.805109639671565
6767,6.4,6.407317972174266
840,5.1,4.85977893055502
3946,6.0,6.269984251820239
3357,5.7,6.016672920087667
5119,4.6,4.235548698492436
6942,7.3,7.838572723945279
3200,5.0,4.852308341806575
6410,6.2,6.386711829112014
1021,5.3,5.115625929445642
2251,6.6,6.383747765085995
7945,6.5,6.155109420373098
7966,6.1,6.308360156074718
5592,6.8,6.646405012137113
702,5.6,5.526746205398536
5608,5.9,5.684756657592979
7609,7.3,7.387714149825096
4689,6.5,6.446633819448935
6541,5.8,6.036777214634479
4233,7.1,6.488708861160574
697,5.4,4.729050355449017
6957,7.2,7.240092367074847
6411,8.4,8.391474481392986
5770,5.7,5.757052923432409
7413,7.4,7.15179994378579
5686,7.3,6.869396133028364
2063,6.0,5.85493763744662
7084,6.3,6.286202349204848
4537,7.0,7.0701179480825
2026,7.9,7.633464009285496
5381,5.7,5.979059958762514
4885,4.0,5.3460139628819405
7092,7.4,7.003929417083312
6579,6.5,6.6251223202501786
4435,6.0,5.915030443840873
7794,6.0,6.342522681267958
1115,5.1,5.556646382045598
7891,5.8,5.841155212089775
1532,5.6,6.0278600233545605
3415,7.0,6.749960246860174
403,7.0,6.859745049714838
6543,4.6,4.2732834960617705
156,6.0,5.989465897512255
6056,5.6,5.66453743545623
522,7.5,7.128820750480208
2745,7.0,6.7043990333244485
1746,6.7,6.78879042117982
5874,7.1,7.1225613507012335
4149,6.3,5.773051700355708
2862,6.3,6.208859144618263
2437,4.5,4.088827715836449
520,7.7,6.547931519445812
3944,6.5,6.146447390612685
4101,7.1,6.143841882534396
6132,7.8,6.967636415149246
1027,6.1,6.057226165712011
4288,7.2,6.6451035703527035
1132,6.7,6.586951404921213
3052,6.9,6.627764452679803
1537,6.6,6.881786008783879
5642,6.1,5.9388011774920235
2656,6.9,6.909697660764336
3131,4.6,4.3620692511508095
293,5.5,5.643780497287036
5510,4.3,3.905431283864756
4188,5.5,5.461209726407459
7612,5.2,5.614607865702074
5845,8.4,8.727896183241569
7694,5.6,5.445608141900773
1328,6.5,6.521187234061485
5409,6.8,6.4114334350345485
2389,5.3,5.740810763891842
3914,3.7,3.1761482762166997
6341,7.2,6.62785892329062
1944,5.9,6.0072120747591375
1343,6.3,6.316800038567984
7792,6.1,6.479327294724304
7656,7.7,7.5686032660496645
7571,8.4,7.272155953363806
5394,5.5,5.795299511506482
2929,7.2,7.2937971341003225
7453,5.7,5.782163586148281
3888,5.9,6.8588561198116595
5231,6.5,6.117593006488095
6380,8.0,7.704967746707838
7145,5.8,6.078371749416328
7053,6.3,6.776850406070676
1588,4.9,5.204742596040111
7097,6.7,6.683714813825936
7626,5.1,4.954555250765214
6206,6.8,6.661473241191067
3575,6.4,6.22652651470063
6602,6.6,6.235255163916545
2754,5.7,5.862789457301466
1011,6.9,7.01437818247553
6764,5.8,6.300085778438972
2984,7.8,7.388411290396122
4580,7.5,7.4154796006667665
6418,6.3,6.265973801692127
6611,7.4,7.081543245998991
4377,5.0,5.618189126992957
3954,6.6,6.493681092498007
5120,6.0,6.1605668100039335
714,6.0,5.874424527082008
2318,4.8,5.092355899527589
6356,6.3,6.502754713634828
6615,5.4,5.69480484854185
341,5.9,5.846086025844548
7893,7.1,7.392562505457666
5009,7.2,6.642931797432833
4894,6.7,6.325492012155531
7663,7.1,7.457526108723154
3279,6.3,6.5774708556878485
6386,6.0,6.03955456319874
7840,6.5,6.8508700753130745
5650,6.2,6.16401001641772
2275,5.6,5.572019120923753
3673,2.8,2.049670982307965
5640,6.0,5.955233320942561
6875,5.6,6.151384574302739
1846,4.7,5.032290382533729
4936,7.6,7.104434292471402
7634,7.4,7.240735395388527
1191,6.0,5.883761560820376
4638,7.0,7.0946778442179665
4201,5.6,5.49457586600357
452,4.0,3.6798742859559983
7495,5.3,5.7120120632684275
7876,6.3,6.344162296802924
1826,6.9,6.677686525408395
708,5.7,5.611724882437446
7185,7.4,7.133178494793518
1439,5.3,5.957925765581204
722,6.1,5.770624042621745
172,6.7,6.66792925497404
4984,7.2,7.31461904768875
7374,5.7,6.329127903242254
4961,6.2,6.682658556647124
7333,6.5,6.6692158511995165
1389,5.8,6.093511742047281
4451,5.9,6.286584100741815
6166,6.6,6.437662896224462
6194,5.4,5.88522728906242
848,6.2,5.491457284511069
6227,6.5,6.117971429319805
3918,6.0,5.770260410603891
6775,6.1,6.239584342187464
3609,6.5,6.598577538564961
4838,7.2,7.041630003222422
3106,4.8,5.258573289925339
355,6.0,6.072115440236432
3042,6.4,6.5171148232067155
6116,4.4,4.11029090045923
3578,6.7,6.632664845620005
5495,6.2,5.954984178738526
5499,7.2,7.318530523079731
1683,6.1,6.29435788051471
1042,5.0,5.408871459829322
5728,4.8,5.002121664245874
7367,7.6,7.95106429239858
3942,6.0,6.24734856635105
5744,6.1,5.926743478741073
3066,5.7,6.062813281003495
6961,5.6,5.864711804013907
2828,4.5,5.393211072258376
7382,5.5,5.469310942837976
329,6.1,6.391500672238059
45,5.3,5.884871742670132
1795,6.2,6.307002833613679
7768,8.3,8.506800467991187
7726,6.2,6.1636512221428275
1606,6.6,5.831914632968473
5762,5.8,6.138116132221817
6882,6.8,6.823442975180016
6246,6.9,7.368748454738312
1344,5.6,5.448859412128981
3407,6.8,6.764606101183873
1364,7.6,7.278780570207529
3945,6.3,6.2380295221546245
5475,6.2,6.249907091193164
4203,6.8,6.732485287042045
1467,6.7,6.667306043590618
2398,7.4,6.597568434203022
2443,5.7,5.570872258140672
996,6.4,6.288726552801813
3060,7.3,7.026878220691919
7614,6.7,6.936572133805382
7683,5.0,4.9458072533538875
5419,6.2,6.3510080879972115
1543,5.7,5.981451535536604
542,6.9,6.937501223785296
