,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
0,Adam at Six A.M.,100.0,1970,1970,Robert Scheerer,1,Stephen Karpf,Elinor Karpf,,Michael Douglas,Lee Purcell,Joe Don Baker,Drama,,,5.7,3,1,22,2,3,6.459,5.867,6.605,5.8,4.767,5.7,0.0,1.0,0.0
1,Adam's Woman,116.0,1970,1970,Philip Leacock,1,Richard Fielder,Lowell Barrington,,Beau Bridges,John Mills,Jane Merrow,Drama,,,6.3,1,1,5,1,1,6.459,6.3,5.8,6.3,6.3,6.3,0.0,1.0,0.0
2,The Adventurers,171.0,1970,1970,Lewis Gilbert,1,Michael Hastings,Lewis Gilbert,Harold Robbins,Charles Aznavour,Alan Badel,Candice Bergen,Action,Adventure,Drama,5.4,5,3,1,1,4,6.077,6.44,5.4,5.4,5.7,5.9,3.0,0.0,0.0
3,Airport,137.0,1970,1970,George Seaton,1,Arthur Hailey,George Seaton,,Burt Lancaster,Dean Martin,George Kennedy,Action,Drama,Thriller,6.6,2,4,9,2,7,6.077,6.25,6.722,6.25,6.186,5.625,1.0,0.0,0.0
4,Alex in Wonderland,110.0,1970,1970,Paul Mazursky,1,Paul Mazursky,Larry Tucker,,Donald Sutherland,Ellen Burstyn,Meg Mazursky,Comedy,Drama,,5.4,13,8,13,9,1,6.016,6.338,5.923,6.556,5.4,6.538,0.0,0.0,12.0
5,The Angel Levine,104.0,1970,1970,Ján Kadár,1,Bill Gunn,Ronald Ribman,Bernard Malamud,Zero Mostel,Harry Belafonte,Ida Kaminska,Drama,,,6.0,1,2,2,3,1,6.459,6.0,6.0,5.933,6.0,6.1,0.0,1.0,0.0
6,Angel Unchained,86.0,1970,1970,Lee Madden,1,Jeffrey Alan Fiskin,Lee Madden,,Don Stroud,Luke Askew,Larry Bishop,Action,Thriller,Drama,5.1,2,2,1,3,1,6.077,5.45,5.1,5.133,5.1,5.15,1.0,0.0,0.0
7,The Aristocats,78.0,1970,1970,Wolfgang Reitherman,1,Larry Clemmons,Vance Gerry,Ken Anderson,Phil Harris,Eva Gabor,Sterling Holloway,Animation,Adventure,Comedy,7.1,1,1,1,3,2,6.623,7.1,7.1,6.967,6.2,7.1,0.0,0.0,0.0
8,The Baby Maker,109.0,1970,1970,James Bridges,1,James Bridges,,,Barbara Hershey,Collin Wilcox Paxton,Sam Groom,Drama,,,6.0,8,4,3,1,2,6.459,6.175,5.867,6.0,5.75,6.3,0.0,7.0,0.0
9,The Ballad of Cable Hogue,121.0,1970,1970,Sam Peckinpah,1,John Crawford,Edmund Penney,Gordon T. Dawson,Jason Robards,Stella Stevens,David Warner,Comedy,Drama,Romance,7.3,9,1,7,3,4,6.016,6.889,6.057,5.833,6.875,7.3,0.0,0.0,1.0
10,Barquero,115.0,1970,1970,Gordon Douglas,1,George Schenck,William Marks,,Lee Van Cleef,Warren Oates,Forrest Tucker,Western,,,6.3,5,1,2,6,2,6.152,5.26,5.95,6.6,6.05,6.3,0.0,0.0,0.0
11,Beneath the Planet of the Apes,95.0,1970,1970,Ted Post,1,Paul Dehn,Mort Abrahams,Pierre Boulle,James Franciscus,Kim Hunter,Maurice Evans,Action,Adventure,Sci-Fi,6.1,7,3,2,2,2,6.077,5.657,6.0,6.2,5.6,6.167,3.0,0.0,0.0
12,Beyond the Valley of the Dolls,109.0,1970,1970,Russ Meyer,1,Roger Ebert,Russ Meyer,,Dolly Read,Cynthia Myers,Marcia McBroom,Comedy,Drama,Music,6.2,6,2,1,1,1,6.016,5.733,6.2,6.2,6.2,5.9,0.0,0.0,4.0
13,Bloody Mama,90.0,1970,1970,Roger Corman,1,Robert Thom,Don Peters,,Shelley Winters,Don Stroud,Pat Hingle,Crime,Drama,,5.7,4,4,1,4,6,6.499,5.35,5.7,6.275,6.3,5.775,0.0,0.0,0.0
14,The Boatniks,99.0,1970,1970,Norman Tokar,1,Arthur Julian,Martin Roth,,Robert Morse,Stefanie Powers,Phil Silvers,Comedy,Family,,5.5,7,1,1,3,1,6.016,6.386,5.5,4.9,5.5,5.5,0.0,0.0,5.0
15,Brewster McCloud,105.0,1970,1970,Robert Altman,1,Doran William Cannon,,,Bud Cort,Shelley Duvall,Sally Kellerman,Comedy,Fantasy,,6.9,24,1,1,2,3,6.016,6.529,6.9,7.65,6.6,6.9,0.0,0.0,15.0
16,A Bullet for Pretty Boy,89.0,1970,1970,Larry Buchanan,1,Tony Huston,Larry Buchanan,Henry Rosenbaum,Fabian,Jocelyn Lane,Astrid Warner,Action,Biography,Crime,5.1,1,1,2,1,1,6.077,5.1,4.45,5.1,5.1,5.1,1.0,0.0,0.0
17,Cannon for Cordoba,104.0,1970,1970,Paul Wendkos,1,Stephen Kandel,,,George Peppard,Giovanna Ralli,Raf Vallone,Action,Romance,Western,5.7,2,1,5,1,3,6.077,5.85,5.8,5.7,5.467,5.7,1.0,0.0,0.0
18,The Cheyenne Social Club,103.0,1970,1970,Gene Kelly,1,James Lee Barrett,,,James Stewart,Henry Fonda,Shirley Jones,Comedy,Romance,Western,6.9,2,3,4,4,2,6.016,7.15,6.4,6.5,6.95,6.433,0.0,0.0,1.0
19,Chisum,111.0,1970,1970,Andrew V. McLaglen,1,Andrew J. Fenady,,,John Wayne,Forrest Tucker,Christopher George,Biography,Western,,6.9,7,2,8,1,2,6.939,6.271,6.962,6.9,6.3,6.6,0.0,0.0,0.0
20,The Christine Jorgensen Story,98.0,1970,1970,Irving Rapper,1,Christine Jorgensen,Robert E. Kent,Ellis St. Joseph,John Hansen,Joan Tompkins,Quinn K. Redeker,Biography,Drama,Romance,5.5,1,1,1,1,2,6.939,5.5,5.5,5.5,5.35,5.5,0.0,0.0,0.0
21,Cockeyed Cowboys of Calico County,99.0,1970,1970,Anton Leader,1,Ranald MacDougall,,,Dan Blocker,Nanette Fabray,Jim Backus,Comedy,Western,,6.2,1,1,1,1,1,6.016,6.2,6.2,6.2,6.2,6.2,0.0,0.0,1.0
22,Colossus: The Forbin Project,100.0,1970,1970,Joseph Sargent,1,James Bridges,D.F. Jones,,Eric Braeden,Susan Clark,Gordon Pinsent,Sci-Fi,Thriller,,7.1,7,4,1,4,1,5.162,5.814,7.1,6.225,7.1,6.3,0.0,0.0,0.0
23,Cotton Comes to Harlem,97.0,1970,1970,Ossie Davis,1,Chester Himes,Arnold Perl,Ossie Davis,Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart,Action,Comedy,Crime,6.5,2,3,4,2,2,6.077,6.5,6.5,6.5,6.7,6.3,1.0,0.0,0.0
